CAL_WO_ID,CAL_Level_ID,TestID,CAL_SP_ID,CAL_State_ID,CV,Deviation,Expected_RLU,RLU,CalDef_Conc,AnalyteMean,AnalyteCV,AnalyteSD,AnalyteMedian,RLU_SD,RLU_Median,CAL_SP_Onboard_Status
85,2,78,167,6,1.449085282,0.281195718,19595,49822,17,6.640947114,1.521212724,0.101022933,6.640947114,721.9560236,49821.5,0
87,1,95,169,6,9.994783379,-0.829420703,11268,5236,0.5,0.128377276,31.32317474,0.040211838,0.1098459,523.3268577,4990,0
36,1,67,73,6,3.912268813,0.009822553,8801,8941,6.05,6.244412136,7.764652076,0.484856877,6.18015869,349.8089955,8895,0
53,1,1559,104,6,1.590720348,-0.052222033,8706,8098,0.03,0.02716852,2.20548011,0.000599196,0.026867697,128.8112314,8033,0
59,1,67,116,6,1.982928796,-0.09945197,8560,7366,6.05,4.382937926,4.636824037,0.203229119,4.376394697,146.0559254,7361,0
4,1,67,7,6,3.805368616,-0.108818926,8212,6957,6.05,4.216294932,9.168230466,0.386559636,4.235265617,264.7394946,6970,0
52,1,74,102,6,2.940210086,-0.306566012,6711,4558,1.2,0.516874041,7.643106485,0.039505233,0.517138262,134.004975,4559,0
94,1,81,183,6,2.406287209,-0.049871734,6471,6037,0,0,0,0,0,145.2595378,6072,0
51,1,1825,100,6,1.628150641,-0.158642025,6341,5131,6.36,4.82546345,2.218291966,0.107042868,4.821681566,83.54040938,5128,0
37,1,67,75,6,3.410687832,0.211136326,6056,8414,6.05,10.40863328,5.134155375,0.534395405,10.70779506,286.9866431,8575,0
50,1,77,98,6,1.363300937,0.124996302,5739,7020,4.67,6.040093302,1.637012008,0.098877053,6.054006831,95.69918147,7033,0
78,1,91,150,6,6.53297812,-0.427448606,5205,2609,0.1,0,0,0,0,170.4127343,2608.5,0
7,1,91,13,6,4.329225191,-0.187918504,5205,3920,0.1,0,0,0,0,169.7056275,3920,0
29,1,91,57,6,2.036525201,-0.180147059,5205,3924,0.1,0,0,0,0,79.90306627,3923.5,0
65,1,1831,128,6,3.50593564,-0.157574503,4332,3260,0,0,0,0,0,114.2818154,3226,0
64,1,73,126,6,3.859988097,-0.666905765,3547,1481,0,0,0,0,0,57.16642371,1513,0
16,1,232,32,6,1.813966318,0.099088899,3508,4176,0.1,0.332955604,7.572352722,0.025212573,0.326790513,75.74518687,4157,0
6,1,91,11,6,3.760209103,0.102001961,3214,3880,0.1,0.194225737,10.82194869,0.02101901,0.187951569,145.9086472,3837,0
47,1,1824,92,6,2.925080785,-0.061816944,1748,1596,0,0,0,0,0,46.69403959,1580,0
79,1,92,153,6,2.410936257,0,0,4330,0.1,0,0,0,0,104.3855035,4377,0
79,1,93,152,6,7.468675011,0,0,4591,0.1,0,0,0,0,342.8619742,4424,0
9,1,93,19,6,5.329628563,0,0,4678,0.1,0,0,0,0,249.3377896,4609,0
79,2,93,154,6,4.49125324,0,0,4766,8.8,0,0,0,0,214.0381586,4761,0
8,1,92,16,6,3.237470079,0,0,4813,0.1,0,0,0,0,155.8086433,4764,0
9,1,92,20,6,4.499808099,0,0,4850,0.1,0,0,0,0,218.2406928,4725,0
8,1,93,15,6,4.071632871,0,0,4926,0.1,0,0,0,0,200.5550631,4874,0
9,2,93,21,6,2.817893339,0,0,4978,8.8,0,0,0,0,140.2747304,4934,0
8,2,93,17,6,3.901818345,0,0,5041,8.8,0,0,0,0,196.7036688,5138,0
31,1,93,63,6,5.959628647,0,0,5658,0.1,0,0,0,0,337.1957888,5838,0
30,1,92,60,6,1.625186872,0,0,5661,0.1,0,0,0,0,92.00724609,5702,0
30,1,93,59,6,2.89532137,0,0,5793,0.1,0,0,0,0,167.725967,5775,0
30,2,93,61,6,2.648795934,0,0,5885,8.8,0,0,0,0,155.8728114,5927,0
83,1,232,162,6,0,0,2613,0,0.1,0,0,0,0,0,0,0
83,2,232,163,6,0,0,22790,0,6.84,0,0,0,0,0,0,0
31,1,92,64,6,5.677144803,0,0,6148,0.1,0,0,0,0,349.0119387,6151,0
31,2,93,65,6,2.649799145,0,0,6181,8.8,0,0,0,0,163.7752525,6226,0
79,2,92,155,6,1.818123733,0,0,25796,8.8,0,0,0,0,469.0031983,25746,0
30,2,92,62,6,1.873880805,0,0,33093,8.8,0,0,0,0,620.1233748,32974,0
31,2,92,66,6,2.131250929,0,0,33377,8.8,0,0,0,0,711.3405186,32974,0
9,2,92,22,6,1.436980455,0,0,34094,8.8,0,0,0,0,489.9289064,34118,0
8,2,92,18,6,2.16083257,0,0,34883,8.8,0,0,0,0,753.7632254,34470,0
13,1,228,28,6,1.507643273,0,0,134467,1.49,0,0,0,0,2027.275142,134466.5,0
14,1,228,29,6,1.85483635,0,0,137279,1.49,0,0,0,0,2546.291519,137278.5,0
10,1,228,23,6,0.997637127,0,0,146047,1.44,0,0,0,0,1457.02242,145673,0
21,1,228,42,6,2.751029947,0,0,153578,1.44,0,0,0,0,4224.963018,153577.5,0
32,1,228,67,6,0.511872326,0,0,164803,1.49,0,0,0,0,843.57839,164802.5,0
33,1,228,68,6,0.607809171,0,0,170550,1.49,0,0,0,0,1036.618541,170550,0
86,1,228,168,6,1.423715099,0,0,186646,1.49,0,0,0,0,2657.307284,186646,0
39,1,228,79,6,1.182139383,0,0,191650,1.49,0,0,0,0,2265.570127,191650,0
45,1,228,89,6,1.713986429,0,0,208380,1.49,0,0,0,0,3571.596352,208379.5,0
40,1,228,80,6,1.479388448,0,0,209209,1.49,0,0,0,0,3095.006381,209208.5,0
70,1,228,137,6,0.021670081,0,0,411145,1.49,0,0,0,0,89.09545443,411145,0
69,1,228,136,6,1.893079983,0,0,412406,1.49,0,0,0,0,7807.165971,412405.5,0
76,1,228,148,6,0.497024248,0,0,488264,1.49,0,0,0,0,2426.790473,488264,0
77,1,228,149,6,1.006292848,0,0,488366,1.49,0,0,0,0,4914.392129,488366,0
